Neighborhood,TotalSqFt,Address 1,Zip
Lower East Side,1380,77 E 4th St,10003
Lower East Side,1694,73 E 4th St,10003
Lower East Side,1725,71 E 4th St,10003
Lower East Side,1896,67 E 4th St,10003
Lower East Side,2208,65 E 4th St,10003
Lower East Side,1694,63 E 4th St,10003
Lower East Side,1408,27 E 3rd St,10003
Lower East Side,1656,25 E 3rd St,10003
Lower East Side,1650,23 E 3rd St,10003
Lower East Side,1804,60 E 4th St,10003
Lower East Side,1422,83 2nd Ave,10003
Lower East Side,1311,9 E 3rd St,10003
Lower East Side,1564,89 E 3rd St,10003
Lower East Side,1042,21 E 3rd St,10003
Lower East Side,1508,56 E 4th St,10003
Lower East Side,2706,75 E 4th St,10003
Lower East Side,1702,69 E 4th St,10003
Lower East Side,1694,58 E 4th St,10003
East Harlem,6400,2383 2nd Ave,10035
East Harlem,6400,2253 3rd Ave,10035
East Harlem,5250,221 122nd St,10035
East Harlem,2555,230 123rd St,10035
Bedford Stuyvesant,8000,247 Herkimer Street,11216
East Harlem,11863,2 E 120th St,10035
East Harlem,13020,26 E 120th St,10035
Bowery,10697,227 Bowery,10002
Long Island City,10406,10-27 46th Ave,11101
Greenpoint,15392,211 Meserole Avenue/ 120 Jewel Street,11222
Bronx,18900,990 Pelham Parkway South,10462
Fleetwood Concourse Village,1541,380 E 166th St,10456
Fleetwood-Concourse Village,3219,320 E 166th st,10456
Fleetwood-Concourse Village,9882,1109 Clay Ave,10456
Fleetwood-Concourse Village,2697,275 E 168th st,10456
Fleetwood-Concourse Village,1794,391 E 168th St,10456
Fleetwood-Concourse Village,2392,393 E 168th St,10456
University Heights,4368,1605 University Ave,10453
University Heights,8772,1472 Montgomery Ave,10453
University Heights,9756,1601 University Ave,10453
University Heights,6900,1615 University Ave,10453
University Heights,5676,1611 University Ave,10453
University Heights,10821,1491 Montgomery Ave,10453
University Heights,20694,1669-75 University Ave,10453
University Heights,9790,1665 Andrews Ave,10453
University Heights,6986,120 West 176th St,10453
High Bridge,5447,1655 Macombs Road,10453
High Bridge,5933,1647 Macombs Road,10453
High Bridge,4658,1665 Macombs Road,10453
High Bridge,3842,1669 Macombs Road,10453
Morris Heights,13861,2001 University Ave,10453
Coney Island,7080,1901 Mermaid Ave,11224
Prospect Heights,32160,415 Flatbush Ave,11238
Long Island City,8000,43-10 11th Street,11101
Washington Heights,5530,500 West 159th Street,10032
Washington Heights,2290,540 West 159th Street,10032
Washington Heights,2290,542 West 159th Street,10032
East Village,7221,220 East 4th Street,10009
Carroll Gardens,4405,509-515 Court Street,11231
Upper West Side,6270,207 W 133rd St,10030
Long Island City,3000,46-01 5th Street,11101
Brownsville,15320,1381 East New York Avenue,11233
Harlem,16112,2960 Fredrick Douglass Blvd,10039
South Bronx,10046,1122 Franklin Ave,10456
